name,popular_times,latitude,longitude,working_hours,city,us_state,rating
Museum of Wonder Drive Thru,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 32, 40, 44, 44, 24, 20, 24, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 32, 40, 36, 52, 48, 40, 28, 32, 44, 48, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 40, 28, 20, 12, 8, 4, 8, 24, 40, 48, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 56, 48, 40, 20, 32, 40, 52, 32, 16, 12, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 76, 100, 96, 60, 28, 28, 48, 56, 40, 20, 4, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 40, 32, 32, 28, 24, 44, 48, 56, 56, 72, 60, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 36, 52, 68, 60, 88, 92, 92, 80, 72, 72, 40, 0, 0]]",32.3294112,-85.1685393,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",Seale,Alabama,4.4
Mobile Carnival Museum,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 8, 8, 16, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 41, 62, 45, 29, 20, 33, 16, 12, 8, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 20, 54, 100, 100, 70, 50, 20, 16, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 41, 37, 16, 8, 12, 41, 41, 66, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 83, 79, 54, 29, 41, 33, 54, 33, 12, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 25, 50, 41, 20, 29, 50, 75, 50, 41, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12, 29, 41, 58, 95, 100, 45, 0, 0, 0, 0]]",30.6885079,-88.0453321,"{""Monday"": ""9AM-4PM"", ""Tuesday"": ""Closed"", ""Wednesday"": ""9AM-4PM"", ""Thursday"": ""Closed"", ""Friday"": ""9AM-4PM"", ""Saturday"": ""9AM-4PM"", ""Sunday"": ""Closed""}",Mobile,Alabama,4.7
Reese's Point,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 23, 27, 24, 17, 8, 2, 2, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20, 27, 24, 12, 1, 2, 2, 2, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 5, 7, 10, 10, 7, 1, 2, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 20, 17, 11, 10, 12, 15, 14, 10, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 18, 21, 5, 2, 2, 2, 2, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 20, 9, 8, 25, 42, 48, 38, 20, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 57, 90, 100, 87, 70, 62, 58, 52, 43, 31, 0, 0]]",33.998778,-87.1549752,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",Lewis Smith Lake,Alabama,5
Jackson Lake Island,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 30, 53, 69, 100, 92, 69, 69, 53, 46, 23, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 23, 30, 53, 46, 30, 15, 7, 15, 38, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 23, 46, 30, 23, 15, 23, 53, 53, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 30, 46, 53, 53, 61, 61, 69, 53, 84, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23, 53, 23, 15, 30, 69, 76, 69, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 30, 46, 53, 46, 61, 92, 61, 30, 15, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23, 7, 7, 15, 30, 15, 7, 0, 0, 0, 0, 0]]",32.4482831,-86.3334503,,Millbrook,Alabama,4.7
Leprechaun Tree,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 50, 40, 10, 10, 30, 10, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 50, 20, 10, 10, 20, 50, 40, 20, 10, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 80, 90, 80, 70, 30, 20, 10, 20, 40, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 10, 30, 70, 60, 80, 60, 40, 40, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 100, 60, 20, 10, 20, 30, 50, 60, 20, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 40, 40, 40, 60, 90, 40, 20, 0, 10, 20, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 30, 60, 50, 100, 60, 80, 40, 50, 0, 0, 0]]",30.6957554,-88.1099819,,Mobile,Alabama,4.7
Threemile Creek Viewing Bridge,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 79, 77, 61, 49, 41, 38, 32, 26, 20, 12, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 33, 37, 35, 34, 33, 35, 33, 30, 26, 16, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 55, 62, 59, 55, 51, 46, 46, 34, 26, 15, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 37, 45, 47, 51, 49, 49, 50, 48, 33, 22, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 55, 58, 60, 59, 58, 54, 54, 42, 30, 16, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 67, 71, 65, 56, 54, 59, 64, 60, 45, 32, 20, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 90, 100, 96, 95, 87, 79, 64, 47, 29, 18, 9, 0]]",30.7002051,-88.1845891,,Mobile,Alabama,
Greer’s MuralPublic Art,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 82, 89, 71, 58, 47, 55, 71, 85, 78, 50, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 40, 37, 33, 24, 18, 27, 40, 58, 66, 52, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 36, 41, 37, 32, 28, 22, 32, 39, 36, 35, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 31, 43, 41, 32, 22, 20, 32, 37, 35, 32, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 29, 41, 31, 22, 12, 16, 28, 50, 60, 58, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 50, 50, 41, 27, 28, 37, 55, 85, 100, 87, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 81, 83, 72, 58, 41, 44, 64, 85, 97, 81, 0, 0]]",30.6858089,-88.0531293,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",Mobile,Alabama,5
Bragg-Mitchell Mansion,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 83, 93, 93, 100, 90, 73, 30, 10, 3, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 30, 43, 36, 26, 30, 20, 26, 26, 13, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 26, 23, 26, 30, 16, 20, 20, 26, 10, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 36, 33, 43, 50, 40, 36, 33, 36, 33, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 20, 16, 13, 30, 30, 33, 33, 30, 23, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 36, 23, 30, 30, 36, 26, 33, 23, 13, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 46, 53, 53, 46, 56, 53, 40, 20, 16, 0, 0, 0]]",30.6923808,-88.0863508,"{""Monday"": ""Closed"", ""Tuesday"": ""10AM-4PM"", ""Wednesday"": ""10AM-4PM"", ""Thursday"": ""10AM-4PM"", ""Friday"": ""10AM-4PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Mobile,Alabama,4.6
Harriet Tubman Mural Public Art by Apollo,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 88, 84, 69, 46, 28, 15, 6, 4, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 44, 43, 37, 32, 18, 11, 8, 8, 3, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 39, 45, 46, 43, 34, 26, 21, 12, 7, 2, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 48, 58, 60, 52, 40, 30, 21, 17, 10, 10, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 46, 50, 55, 57, 49, 30, 17, 10, 9, 7, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 61, 63, 63, 55, 49, 40, 30, 20, 18, 20, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 92, 100, 86, 70, 53, 35, 26, 19, 14, 10, 0, 0]]",30.6895739,-88.0478038,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",Mobile,Alabama,4.8
History Museum of Mobile,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 92, 83, 65, 0, 0, 0, 53, 67, 64, 40, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 38, 37, 25, 0, 0, 0, 21, 27, 21, 16, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 21, 27, 22, 0, 0, 0, 29, 51, 43, 33, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 35, 34, 23, 0, 0, 0, 11, 24, 22, 15, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 41, 43, 28, 0, 0, 0, 42, 54, 61, 56, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 100, 99, 68, 0, 0, 0, 48, 69, 67, 42, 0, 0]]",30.6895281,-88.0398404,"{""Monday"": ""9AM-5PM"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""9AM-5PM"", ""Sunday"": ""1-5PM""}",Mobile,Alabama,4.6
