name,latitude,longitude,city,us_state,rating,rating_category,rating_scaled,Monday_00,Monday_01,Monday_02,Monday_03,Monday_04,Monday_05,Monday_06,Monday_07,Monday_08,Monday_09,Monday_10,Monday_11,Monday_12,Monday_13,Monday_14,Monday_15,Monday_16,Monday_17,Monday_18,Monday_19,Monday_20,Monday_21,Monday_22,Monday_23,Tuesday_00,Tuesday_01,Tuesday_02,Tuesday_03,Tuesday_04,Tuesday_05,Tuesday_06,Tuesday_07,Tuesday_08,Tuesday_09,Tuesday_10,Tuesday_11,Tuesday_12,Tuesday_13,Tuesday_14,Tuesday_15,Tuesday_16,Tuesday_17,Tuesday_18,Tuesday_19,Tuesday_20,Tuesday_21,Tuesday_22,Tuesday_23,Wednesday_00,Wednesday_01,Wednesday_02,Wednesday_03,Wednesday_04,Wednesday_05,Wednesday_06,Wednesday_07,Wednesday_08,Wednesday_09,Wednesday_10,Wednesday_11,Wednesday_12,Wednesday_13,Wednesday_14,Wednesday_15,Wednesday_16,Wednesday_17,Wednesday_18,Wednesday_19,Wednesday_20,Wednesday_21,Wednesday_22,Wednesday_23,Thursday_00,Thursday_01,Thursday_02,Thursday_03,Thursday_04,Thursday_05,Thursday_06,Thursday_07,Thursday_08,Thursday_09,Thursday_10,Thursday_11,Thursday_12,Thursday_13,Thursday_14,Thursday_15,Thursday_16,Thursday_17,Thursday_18,Thursday_19,Thursday_20,Thursday_21,Thursday_22,Thursday_23,Friday_00,Friday_01,Friday_02,Friday_03,Friday_04,Friday_05,Friday_06,Friday_07,Friday_08,Friday_09,Friday_10,Friday_11,Friday_12,Friday_13,Friday_14,Friday_15,Friday_16,Friday_17,Friday_18,Friday_19,Friday_20,Friday_21,Friday_22,Friday_23,Saturday_00,Saturday_01,Saturday_02,Saturday_03,Saturday_04,Saturday_05,Saturday_06,Saturday_07,Saturday_08,Saturday_09,Saturday_10,Saturday_11,Saturday_12,Saturday_13,Saturday_14,Saturday_15,Saturday_16,Saturday_17,Saturday_18,Saturday_19,Saturday_20,Saturday_21,Saturday_22,Saturday_23,Sunday_00,Sunday_01,Sunday_02,Sunday_03,Sunday_04,Sunday_05,Sunday_06,Sunday_07,Sunday_08,Sunday_09,Sunday_10,Sunday_11,Sunday_12,Sunday_13,Sunday_14,Sunday_15,Sunday_16,Sunday_17,Sunday_18,Sunday_19,Sunday_20,Sunday_21,Sunday_22,Sunday_23,parsed_hours,popular_hours,parsed_features,popular_features,calculated_working_hours,weekday_hours,weekend_hours,is_weekend_open,Monday_00_category,Monday_01_category,Monday_02_category,Monday_03_category,Monday_04_category,Monday_05_category,Monday_06_category,Monday_07_category,Monday_08_category,Monday_09_category,Monday_10_category,Monday_11_category,Monday_12_category,Monday_13_category,Monday_14_category,Monday_15_category,Monday_16_category,Monday_17_category,Monday_18_category,Monday_19_category,Monday_20_category,Monday_21_category,Monday_22_category,Monday_23_category,Tuesday_00_category,Tuesday_01_category,Tuesday_02_category,Tuesday_03_category,Tuesday_04_category,Tuesday_05_category,Tuesday_06_category,Tuesday_07_category,Tuesday_08_category,Tuesday_09_category,Tuesday_10_category,Tuesday_11_category,Tuesday_12_category,Tuesday_13_category,Tuesday_14_category,Tuesday_15_category,Tuesday_16_category,Tuesday_17_category,Tuesday_18_category,Tuesday_19_category,Tuesday_20_category,Tuesday_21_category,Tuesday_22_category,Tuesday_23_category,Wednesday_00_category,Wednesday_01_category,Wednesday_02_category,Wednesday_03_category,Wednesday_04_category,Wednesday_05_category,Wednesday_06_category,Wednesday_07_category,Wednesday_08_category,Wednesday_09_category,Wednesday_10_category,Wednesday_11_category,Wednesday_12_category,Wednesday_13_category,Wednesday_14_category,Wednesday_15_category,Wednesday_16_category,Wednesday_17_category,Wednesday_18_category,Wednesday_19_category,Wednesday_20_category,Wednesday_21_category,Wednesday_22_category,Wednesday_23_category,Thursday_00_category,Thursday_01_category,Thursday_02_category,Thursday_03_category,Thursday_04_category,Thursday_05_category,Thursday_06_category,Thursday_07_category,Thursday_08_category,Thursday_09_category,Thursday_10_category,Thursday_11_category,Thursday_12_category,Thursday_13_category,Thursday_14_category,Thursday_15_category,Thursday_16_category,Thursday_17_category,Thursday_18_category,Thursday_19_category,Thursday_20_category,Thursday_21_category,Thursday_22_category,Thursday_23_category,Friday_00_category,Friday_01_category,Friday_02_category,Friday_03_category,Friday_04_category,Friday_05_category,Friday_06_category,Friday_07_category,Friday_08_category,Friday_09_category,Friday_10_category,Friday_11_category,Friday_12_category,Friday_13_category,Friday_14_category,Friday_15_category,Friday_16_category,Friday_17_category,Friday_18_category,Friday_19_category,Friday_20_category,Friday_21_category,Friday_22_category,Friday_23_category,Saturday_00_category,Saturday_01_category,Saturday_02_category,Saturday_03_category,Saturday_04_category,Saturday_05_category,Saturday_06_category,Saturday_07_category,Saturday_08_category,Saturday_09_category,Saturday_10_category,Saturday_11_category,Saturday_12_category,Saturday_13_category,Saturday_14_category,Saturday_15_category,Saturday_16_category,Saturday_17_category,Saturday_18_category,Saturday_19_category,Saturday_20_category,Saturday_21_category,Saturday_22_category,Saturday_23_category,Sunday_00_category,Sunday_01_category,Sunday_02_category,Sunday_03_category,Sunday_04_category,Sunday_05_category,Sunday_06_category,Sunday_07_category,Sunday_08_category,Sunday_09_category,Sunday_10_category,Sunday_11_category,Sunday_12_category,Sunday_13_category,Sunday_14_category,Sunday_15_category,Sunday_16_category,Sunday_17_category,Sunday_18_category,Sunday_19_category,Sunday_20_category,Sunday_21_category,Sunday_22_category,Sunday_23_category,predicted_popularity,nearest_neighbors,predicted_rating_category
Horatio Colony House Museum,42.928888,-72.27807,Keene,New hampshire,4.6,High,4.6,0,0,0,0,0,0,0,0,0,0,0,40,62,59,37,26,23,37,38,28,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,59,56,40,24,21,27,28,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,55,59,43,35,34,50,52,45,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,56,55,48,36,43,51,63,52,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,47,52,46,44,45,53,54,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,92,100,81,61,56,59,63,45,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,86,88,70,54,50,51,45,31,14,0,0,0,[],"[(11, 21), (11, 21), (11, 21), (11, 21), (11, 21), (11, 21), (11, 21)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 21, 11, 21, 11, 21, 11, 21, 11, 21, 11, 21, 11, 21]",:11-21:11-21:11-21:11-21:11-21:11-21:11-21,5,1,TRUE,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,low,low,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,low,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,high,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,medium,medium,medium,medium,medium,low,low,low,low,low,,"Courtyard Keene Downtown:25.11km, Cheshire Children'S Museum:31.61km, Ashuelot River Park:51.95km, Sunset Rock:102.14km, Horatio Colony Nature Preserve:215.69km",High
Horatio Colony Nature Preserve,42.928745,-72.324306,Keene,New hampshire,4.8,High,4.8,0,0,0,0,0,0,0,0,0,0,0,42,61,55,41,31,34,44,47,34,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,53,50,41,37,42,57,61,45,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,65,63,50,37,40,54,58,41,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,66,57,41,33,43,60,71,57,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,84,75,68,49,55,66,76,58,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,82,92,85,70,70,76,75,55,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,96,100,80,60,54,64,70,61,35,0,0,0,[],"[(11, 21), (11, 21), (11, 21), (11, 21), (11, 21), (11, 21), (11, 21)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 21, 11, 21, 11, 21, 11, 21, 11, 21, 11, 21, 11, 21]",:11-21:11-21:11-21:11-21:11-21:11-21:11-21,5,1,TRUE,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,low,low,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,low,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,low,low,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,low,medium,medium,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,medium,medium,medium,medium,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,high,medium,medium,high,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,high,medium,medium,medium,medium,medium,low,low,low,low,,"Ashuelot River Park:171.07km, Cheshire Children'S Museum:188.57km, Horatio Colony House Museum:215.69km, Courtyard Keene Downtown:229.10km, Sunset Rock:316.28km",High
Ashuelot River Park,42.93257,-72.288007,Keene,New hampshire,4.5,Medium,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,17,8,5,14,17,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,35,40,25,11,11,29,44,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,22,25,23,22,40,56,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,70,80,70,58,44,55,74,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,98,100,70,37,23,34,43,43,0,0,0,0,"[(None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]","[(None, None), (11, 20), (11, 20), (11, 20), (None, None), (11, 20), (11, 20)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 11, 20, 11, 20, 11, 20, 0, 0, 11, 20, 11, 20]",::11-20:11-20:11-20::11-20:11-20,3,1,TRUE,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,high,medium,medium,medium,medium,high,high,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,medium,low,low,low,medium,medium,low,low,low,low,,"Cheshire Children'S Museum:20.37km, Horatio Colony House Museum:51.95km, Courtyard Keene Downtown:58.65km, Sunset Rock:152.91km, Horatio Colony Nature Preserve:171.07km",Medium
Sunset Rock,42.925589,-72.256644,Keene,New hampshire,4.4,Medium,4.4,0,0,0,0,0,0,0,0,0,0,0,20,25,22,15,0,0,28,40,39,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,31,26,0,0,5,11,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,36,27,17,0,0,22,24,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,31,16,9,0,0,19,25,23,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,57,45,32,0,0,33,42,43,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,72,88,70,35,23,33,39,38,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,99,100,62,40,27,36,33,24,16,0,0,0,"[(None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]","[(11, 21), (11, 21), (11, 21), (11, 21), (11, 21), (11, 21), (11, 21)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 21, 11, 21, 11, 21, 11, 21, 11, 21, 11, 21, 11, 21]",:11-21:11-21:11-21:11-21:11-21:11-21:11-21,5,1,TRUE,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,low,low,low,low,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,high,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,medium,low,low,low,low,low,low,low,low,low,,"Courtyard Keene Downtown:97.61km, Horatio Colony House Museum:102.14km, Cheshire Children'S Museum:132.74km, Ashuelot River Park:152.91km, Horatio Colony Nature Preserve:316.28km",Medium
Cliff'S Amusement Park,35.143526,-106.589025,Albuquerque,New mexico,4.3,Medium,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,61,61,50,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,61,55,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,88,50,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,94,100,72,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,55,38,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]","[(18, 23), (18, 23), (None, None), (18, 22), (18, 23), (18, 23), (None, None)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 23, 18, 23, 0, 0, 18, 22, 18, 23, 18, 23, 0, 0]",:18-23:18-23::18-22:18-23:18-23:,4,1,TRUE,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,high,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,high,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,,"Anderson Abruzzo Albuquerque International Balloon Museum:298.40km, The Big I:325.30km, Unm Duck Pond:412.00km, Rio Grande Nature Center State Park:495.83km, Turquoise Museum:510.08km",Medium
Laberinto Del Bosque,35.116932,-106.689827,Albuquerque,New mexico,5,High,5,0,0,0,0,0,0,0,0,0,71,69,71,58,64,64,69,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,87,66,53,33,35,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,66,92,100,94,79,61,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,79,71,76,82,71,43,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,69,71,74,71,64,51,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]","[(9, 17), (9, 17), (9, 17), (9, 17), (9, 17), (None, None), (None, None)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 17, 9, 17, 9, 17, 9, 17, 9, 17, 0, 0, 0, 0]",:9-17:9-17:9-17:9-17:9-17::,5,0,FALSE,low,low,low,low,low,low,low,low,low,high,medium,high,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,high,high,high,medium,medium,low,low,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,high,high,high,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,high,high,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,high,high,high,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,,"Rio Grande Nature Center State Park:93.64km, Turquoise Museum:311.04km, The Big I:322.64km, Petroglyph National Monument:330.08km, Unm Duck Pond:406.93km",High
Unm Duck Pond,35.084868,-106.622306,Albuquerque,New mexico,4.7,High,4.7,0,0,0,0,0,0,0,0,26,52,67,70,58,41,38,52,44,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,67,35,38,64,73,50,50,61,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,67,91,70,55,52,44,41,47,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,82,100,91,73,64,61,50,32,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,50,58,50,50,61,64,47,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]","[(8, 18), (8, 18), (8, 18), (8, 18), (8, 18), (None, None), (None, None)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[8, 18, 8, 18, 8, 18, 8, 18, 8, 18, 0, 0, 0, 0]",:8-18:8-18:8-18:8-18:8-18::,5,0,FALSE,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,medium,low,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,low,low,medium,high,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,medium,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,high,high,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,,"The Big I:132.78km, Turquoise Museum:145.56km, Laberinto Del Bosque:406.93km, Cliff'S Amusement Park:412.00km, Rio Grande Nature Center State Park:428.93km",High
Petroglyph National Monument,35.124381,-106.75251,Albuquerque,New mexico,4.6,High,4.6,0,0,0,0,0,0,0,0,60,53,78,50,28,32,39,67,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,75,82,100,64,57,39,35,25,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,32,64,75,82,67,46,46,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,10,21,35,71,75,89,71,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,82,89,78,64,64,60,71,35,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(None, None), (30.0, 4.0), (None, None), (None, None), (30.0, 4.0), (None, None), (None, None), (30.0, 4.0), (None, None), (None, None), (30.0, 4.0), (None, None), (None, None), (30.0, 4.0), (None, None), (None, None), (30.0, 4.0), (None, None), (None, None), (30.0, 4.0), (None, None)]","[(8, 18), (8, 18), (8, 18), (8, 18), (8, 18), (None, None), (None, None)]","[0, 0, 30.0, 4.0, 0, 0, 0, 0, 30.0, 4.0, 0, 0, 0, 0]","[8, 18, 8, 18, 8, 18, 8, 18, 8, 18, 0, 0, 0, 0]",:8-18:8-18:8-18:8-18:8-18::,5,0,FALSE,low,low,low,low,low,low,low,low,medium,medium,high,medium,low,low,low,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,high,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,high,high,high,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,high,medium,medium,medium,high,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,,"Laberinto Del Bosque:330.08km, Rio Grande Nature Center State Park:365.07km, Turquoise Museum:603.38km, The Big I:651.95km, Unm Duck Pond:723.83km",High
Rio Grande Nature Center State Park,35.130475,-106.682845,Albuquerque,New mexico,4.7,High,4.7,0,0,0,0,0,0,0,44,70,88,91,87,75,71,58,41,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,69,87,100,89,80,71,75,67,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,59,67,63,56,51,58,61,51,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,62,82,90,93,87,88,75,53,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,50,59,62,60,56,50,50,45,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]","[(7, 17), (7, 17), (7, 17), (7, 17), (7, 17), (None, None), (None, None)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 17, 7, 17, 7, 17, 7, 17, 7, 17, 0, 0, 0, 0]",:7-17:7-17:7-17:7-17:7-17::,5,0,FALSE,low,low,low,low,low,low,low,medium,medium,high,high,high,high,high,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,high,high,high,high,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,high,high,high,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,,"Laberinto Del Bosque:93.64km, The Big I:321.53km, Turquoise Museum:360.68km, Petroglyph National Monument:365.07km, Unm Duck Pond:428.93km",High
The Big I,35.104807,-106.629722,Albuquerque,New mexico,3.6,Medium,3.6,0,0,0,0,0,0,0,0,0,0,0,27,35,24,0,0,0,74,100,93,70,37,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,18,0,0,0,48,70,66,58,37,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,10,0,0,0,20,39,48,44,22,0,0,0,0,0,0,0,0,0,0,0,0,0,18,33,39,0,0,0,29,39,32,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,17,35,33,0,0,0,50,70,71,52,32,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,16,0,0,0,40,50,43,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,16,0,0,0,27,45,52,50,43,0,0,"[(None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]","[(11, 22), (11, 22), (11, 22), (11, 22), (11, 22), (11, 22), (11, 22)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 22, 11, 22, 11, 22, 11, 22, 11, 22, 11, 22, 11, 22]",:11-22:11-22:11-22:11-22:11-22:11-22:11-22,5,1,TRUE,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,high,high,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,low,low,,"Unm Duck Pond:132.78km, Turquoise Museum:185.51km, Rio Grande Nature Center State Park:321.53km, Laberinto Del Bosque:322.64km, Cliff'S Amusement Park:325.30km",Medium
